Organism.Name	Strain	species	genus	family	order	class	phylum	superkingdom
Flavobacterium limnosediminis JC2902	JC2902	Flavobacterium limnosediminis	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Flavobacterium sp. JGI 0001001-D01	JGI 0001001-D01	Flavobacterium sp. JGI 0001001-D01	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Flavobacterium sp. MS220-5C	MS220-5C	Flavobacterium sp. MS220-5C	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Flavobacterium sp. SCGC AAA160-P02	SCGC AAA160-P02	Flavobacterium sp. SCGC AAA160-P02	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Flavobacterium sp. SCGC AAA536-P05	SCGC AAA536-P05	Flavobacterium sp. SCGC AAA536-P05	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Flavobacterium sp. URHB0058	URHB0058	Flavobacterium sp. URHB0058	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Flavobacterium sp. WG21	WG21	Flavobacterium sp. WG21	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Flavobacterium subsaxonicum DSM 21790	DSM 21790	Flavobacterium subsaxonicum	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Flavobacterium suncheonense DSM 17707	DSM 17707	Flavobacterium suncheonense	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Flavobacterium tegetincola DSM 22377	DSM 22377	Flavobacterium tegetincola	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Flavonifractor plautii ATCC 29863	ATCC 29863	Flavonifractor plautii	Flavonifractor	NA	Clostridiales	Clostridia	Firmicutes	Bacteria
Flectobacillus major DSM 103	DSM 103	Flectobacillus major	Flectobacillus	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Flexibacter elegans DSM 3317	DSM 3317	Flexibacter elegans	Flexibacter	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Flexibacter litoralis DSM 6794	DSM 6794	Flexibacter litoralis	Flexibacter	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Flexibacter roseolus DSM 9546	DSM 9546	Flexibacter roseolus	Flexibacter	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Flexistipes sinusarabici DSM 4947	DSM 4947	Flexistipes sinusarabici	Flexistipes	Deferribacteraceae	Deferribacterales	Deferribacteres	Deferribacteres	Bacteria
Flexithrix dorotheae DSM 6795	DSM 6795	Flexithrix dorotheae	Flexithrix	Flammeovirgaceae	Cytophagales	Cytophagia	Bacteroidetes	Bacteria
Fluoribacter dumoffii NY 23	NY 23	Fluoribacter dumoffii	Fluoribacter	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
Fluoribacter dumoffii Tex-KL		Fluoribacter dumoffii	Fluoribacter	Legionellaceae	Legionellales	Gammaproteobacteria	Proteobacteria	Bacteria
Fluviicola taffensis DSM 16823	DSM 16823	Fluviicola taffensis	Fluviicola	Cryomorphaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
Fodinicurvata sediminis DSM 21159	DSM 21159	Fodinicurvata sediminis	Fodinicurvata	Rhodospirillaceae	Rhodospirillales	Alphaproteobacteria	Proteobacteria	Bacteria
Formosa sp. AK20	AK20	Formosa sp. AK20	Formosa	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidetes	Bacteria
